ts,workflow,anomaly,action,status,latency_ms,recovery_pct,reward
2025-10-28T11:05:46.358881+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,11358,95.9,0.11
2025-10-28T11:06:02.910254+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,8022,85.7,-0.06
2025-10-28T11:06:05.153942+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,13578,81.81,0.37
2025-10-28T11:06:17.294587+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,12948,87.79,0.44
2025-10-28T11:06:17.847447+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,11430,90.71,0.41
2025-10-28T11:06:18.162038+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,3355,88.66,-0.01
2025-10-28T11:06:18.396457+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,6889,86.88,0.16
2025-10-28T11:10:56.254553+00:00,invoice_processing,Queue pressure detected: Support tickets not being resolved on time.,"retry_workflow, notify_owner",healed,9061,75.87,0.36
2025-10-28T11:14:09.156456+00:00,invoice_processing,Queue pressure detected in support ticket system. Ticket backlog increasing.,"retry_workflow, notify_owner",healed,3788,94.7,0.01
2025-10-28T11:28:49.817243+00:00,customer_support,queue_pressure,"restart_queue, increase_batching",healed,6450,75.59,0.19
2025-10-28T11:29:18.939114+00:00,inventory_tracking,queue_pressure,"restart_queue, increase_batching",healed,8696,75.21,0.22
2025-10-28T11:29:18.982820+00:00,invoice_processing,queue_pressure,"restart_queue, increase_batching",healed,2353,86.99,0.02
2025-10-28T11:32:29.550767+00:00,order_processing,queue_pressure,"restart_queue, increase_batching",healed,4287,91.49,0.43
2025-10-28T11:32:29.590615+00:00,inventory_tracking,queue_pressure,"restart_queue, increase_batching",healed,2265,88.68,0.09
